Name,Serving Size,Calories,Fat,Carbohydrates,Protein
Egg McMuffin,4.8 oz (136 g),300,13,31,17
Egg White Delight,4.8 oz (135 g),250,8,30,18
Sausage McMuffin,3.9 oz (111 g),370,23,29,14
Sausage McMuffin with Egg,5.7 oz (161 g),450,28,30,21
Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,23,30,21
Steak & Egg McMuffin,6.5 oz (185 g),430,23,31,26
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460,26,38,19
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520,30,43,19
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,20,36,20
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,25,42,20
Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,27,34,11
Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,31,39,11
Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,33,36,18
Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,37,42,18
Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,27,34,18
Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,32,40,18
Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,20,41,17
Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,24,46,17
Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,32,38,25
"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460,21,48,19
"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,15,47,20
Sausage McGriddles,5 oz (141 g),420,22,44,11
"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550,31,48,20
"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,26,46,21
"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,31,57,30
"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,25,55,30
"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670,35,56,33
Big Breakfast (Regular Biscuit),9.5 oz (269 g),740,48,51,28
Big Breakfast (Large Biscuit),10 oz (283 g),800,52,56,28
Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,37,50,26
Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,41,55,26
Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),1090,56,111,36
Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),1150,60,116,36
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),990,46,110,35
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),1050,50,115,35
Hotcakes,5.3 oz (151 g),350,9,60,8
Hotcakes and Sausage,6.8 oz (192 g),520,24,61,15
Sausage Burrito,3.9 oz (111 g),300,16,26,12
Hash Brown,2 oz (56 g),150,9,15,1
Cinnamon Melts,4 oz (114 g),460,19,66,6
Fruit & Maple Oatmeal,9.6 oz (251 g),290,4,58,5
Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260,4,49,5
Big Mac,7.4 oz (211 g),530,27,47,24
Quarter Pounder with Cheese,7.1 oz (202 g),520,26,41,30
Quarter Pounder with Bacon & Cheese,8 oz (227 g),600,29,48,37
Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),610,31,46,37
Quarter Pounder Deluxe,8.6 oz (244 g),540,27,45,29
Double Quarter Pounder with Cheese,10 oz (283 g),750,43,42,48
Hamburger,3.5 oz (98 g),240,8,32,12
Cheeseburger,4 oz (113 g),290,11,33,15
Double Cheeseburger,5.7 oz (161 g),430,21,35,24
Bacon Clubhouse Burger,9.5 oz (270 g),720,40,51,39
McDouble,5.2 oz (147 g),380,17,34,22
Bacon McDouble,5.7 oz (161 g),440,22,35,27
Daily Double,6.7 oz (190 g),430,22,34,22
Jalapeño Double,5.6 oz (159 g),430,23,35,22
McRib,7.3 oz (208 g),500,26,44,22
Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,22,55,24
Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,9,42,28
Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,33,58,36
Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,20,44,40
Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,28,57,32
Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,15,43,36
Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,38,65,36
Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,25,51,40
Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,19,43,21
McChicken,5.1 oz (143 g),360,16,40,14
Bacon Cheddar McChicken,6 oz (171 g),480,24,43,22
Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,21,41,20
Buffalo Ranch McChicken,5.2 oz (148 g),360,16,40,14
Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,32,56,32
Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,19,42,36
Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,31,56,27
Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,18,42,30
Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670,33,68,27
Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520,20,55,31
Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540,23,61,23
Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,10,47,27
Chicken McNuggets (4 piece),2.3 oz (65 g),190,12,12,9
Chicken McNuggets (6 piece),3.4 oz (97 g),280,18,18,13
Chicken McNuggets (10 piece),5.7 oz (162 g),470,30,30,22
Chicken McNuggets (20 piece),11.4 oz (323 g),940,59,59,44
Chicken McNuggets (40 piece),22.8 oz (646 g),1880,118,118,87
Filet-O-Fish,5 oz (142 g),390,19,39,15
Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140,7,10,9
Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,21,22,25
Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,8,8,29
Premium Southwest Salad (without Chicken),8.1 oz (230 g),140,4.5,20,6
Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450,22,42,23
Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290,8,28,27
Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,15,37,14
Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,8,30,16
Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,15,34,14
Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,8,27,16
Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,20,32,15
Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,13,25,16
Small French Fries,2.6 oz (75 g),230,11,30,2
Medium French Fries,3.9 oz (111 g),340,16,44,4
Large French Fries,5.9 oz (168 g),510,24,67,6
Kids French Fries,1.3 oz (38 g),110,5,15,1
Side Salad,3.1 oz (87 g),20,0,4,1
Apple Slices,1.2 oz (34 g),15,0,4,0
Fruit 'n Yogurt Parfait,5.2 oz (149 g),150,2,30,4
Baked Apple Pie,2.7 oz (77 g),250,13,32,2
Chocolate Chip Cookie,1 cookie (33 g),160,8,21,2
Oatmeal Raisin Cookie,1 cookie (33 g),150,6,22,2
Kids Ice Cream Cone,1 oz (29 g),45,1.5,7,1
Hot Fudge Sundae,6.3 oz (179 g),330,9,53,8
Hot Caramel Sundae,6.4 oz (182 g),340,8,60,7
Strawberry Sundae,6.3 oz (178 g),280,6,49,6
Coca-Cola Classic (Small),16 fl oz cup,140,0,39,0
Coca-Cola Classic (Medium),21 fl oz cup,200,0,55,0
Coca-Cola Classic (Large),30 fl oz cup,280,0,76,0
Coca-Cola Classic (Child),12 fl oz cup,100,0,28,0
Diet Coke (Small),16 fl oz cup,0,0,0,0
Diet Coke (Medium),21 fl oz cup,0,0,0,0
Diet Coke (Large),30 fl oz cup,0,0,0,0
Diet Coke (Child),12 fl oz cup,0,0,0,0
Dr Pepper (Small),16 fl oz cup,140,0,37,0
Dr Pepper (Medium),21 fl oz cup,190,0,53,0
Dr Pepper (Large),30 fl oz cup,270,0,72,0
Dr Pepper (Child),12 fl oz cup,100,0,27,0
Diet Dr Pepper (Small),16 fl oz cup,0,0,0,2
Diet Dr Pepper (Medium),21 fl oz cup,0,0,0,3
Diet Dr Pepper (Large),30 fl oz cup,0,0,0,4
Diet Dr Pepper (Child),12 fl oz cup,0,0,0,1
Sprite (Small),16 fl oz cup,140,0,37,0
Sprite (Medium),21 fl oz cup,200,0,54,0
Sprite (Large),30 fl oz cup,280,0,74,0
Sprite (Child),12 fl oz cup,100,0,27,0
1% Low Fat Milk Jug,1 carton (236 ml),100,2.5,12,8
Fat Free Chocolate Milk Jug,1 carton (236 ml),130,0,23,9
Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),80,0,21,0
Minute Maid Orange Juice (Small),12 fl oz cup,150,0,34,2
Minute Maid Orange Juice (Medium),16 fl oz cup,190,0,44,3
Minute Maid Orange Juice (Large),22 fl oz cup,280,0,65,4
Dasani Water Bottle,16.9 fl oz,0,0,0,0
Iced Tea (Small),16 fl oz cup,0,0,0,0
Iced Tea (Medium),21 fl oz cup,0,0,0,0
Iced Tea (Large),30 fl oz cup,0,0,0,0
Iced Tea (Child),12 fl oz cup,0,0,0,0
Sweet Tea (Small),16 fl oz cup,150,0,36,1
Sweet Tea (Medium),21 fl oz cup,180,0,45,1
Sweet Tea (Large),30 fl oz cup,220,0,54,1
Sweet Tea (Child),12 fl oz cup,110,0,27,0
Coffee (Small),12 fl oz cup,0,0,0,0
Coffee (Medium),16 fl oz cup,0,0,0,0
Coffee (Large),16 fl oz cup,0,0,0,0
Latte (Small),12 fl oz cup,170,9,15,9
Latte (Medium),16 fl oz cup,210,10,18,11
Latte (Large),20 fl oz cup,280,14,24,15
Caramel Latte (Small),12 fl oz cup,270,9,40,9
Caramel Latte (Medium),16 fl oz cup,340,10,50,11
Caramel Latte (Large),20 fl oz cup,430,14,62,15
Hazelnut Latte (Small),12 fl oz cup,270,9,40,9
Hazelnut Latte (Medium),16 fl oz cup,330,10,50,11
Hazelnut Latte (Large),20 fl oz cup,430,14,62,15
French Vanilla Latte (Small),12 fl oz cup,260,9,38,9
French Vanilla Latte (Medium),16 fl oz cup,330,10,48,11
French Vanilla Latte (Large),20 fl oz cup,420,14,60,15
Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,210,9,24,9
Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,260,10,29,12
Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,330,14,37,15
Nonfat Latte (Small),12 fl oz cup,100,0,15,10
Nonfat Latte (Medium),16 fl oz cup,130,0,19,12
Nonfat Latte (Large),20 fl oz cup,170,0.5,25,16
Nonfat Caramel Latte (Small),12 fl oz cup,200,0,41,10
Nonfat Caramel Latte (Medium),16 fl oz cup,250,0,51,12
Nonfat Caramel Latte (Large),20 fl oz cup,310,0.5,63,16
Nonfat Hazelnut Latte (Small),12 fl oz cup,200,0,40,10
Nonfat Hazelnut Latte (Medium),16 fl oz cup,250,0,51,12
Nonfat Hazelnut Latte (Large),20 fl oz cup,310,0.5,63,16
Nonfat French Vanilla Latte (Small),12 fl oz cup,190,0,39,10
Nonfat French Vanilla Latte (Medium),16 fl oz cup,240,0,49,12
Nonfat French Vanilla Latte (Large),20 fl oz cup,300,0.5,60,16
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,140,0,24,10
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,170,0,30,12
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,220,0.5,38,16
Mocha (Small),12 fl oz cup,340,11,49,10
Mocha (Medium),16 fl oz cup,410,14,60,13
Mocha (Large),20 fl oz cup,500,17,72,16
Mocha with Nonfat Milk (Small),12 fl oz cup,270,3.5,49,11
Mocha with Nonfat Milk (Medium),16 fl oz cup,330,3.5,60,13
Mocha with Nonfat Milk (Large),20 fl oz cup,390,4,73,17
Caramel Mocha (Small),12 fl oz cup,320,11,45,10
Caramel Mocha (Medium),16 fl oz cup,390,14,55,12
Caramel Mocha (Large),20 fl oz cup,480,17,66,16
Nonfat Caramel Mocha (Small),12 fl oz cup,250,3.5,45,10
Nonfat Caramel Mocha (Medium),16 fl oz cup,310,3.5,56,13
Nonfat Caramel Mocha (Large),20 fl oz cup,370,3.5,67,17
Hot Chocolate (Small),12 fl oz cup,360,13,50,11
Hot Chocolate (Medium),16 fl oz cup,440,16,61,14
Hot Chocolate (Large),20 fl oz cup,540,20,73,17
Hot Chocolate with Nonfat Milk (Small),12 fl oz cup,280,3.5,50,12
Hot Chocolate with Nonfat Milk (Medium),16 fl oz cup,340,3.5,61,14
Hot Chocolate with Nonfat Milk (Large),20 fl oz cup,400,3.5,74,19
Regular Iced Coffee (Small),16 fl oz cup,140,4.5,23,1
Regular Iced Coffee (Medium),22 fl oz cup,190,7,31,1
Regular Iced Coffee (Large),32 fl oz cup,270,9,47,2
Caramel Iced Coffee (Small),16 fl oz cup,130,4.5,22,1
Caramel Iced Coffee (Medium),22 fl oz cup,180,7,29,1
Caramel Iced Coffee (Large),32 fl oz cup,260,9,43,2
Hazelnut Iced Coffee (Small),16 fl oz cup,130,4.5,21,1
Hazelnut Iced Coffee (Medium),22 fl oz cup,180,7,29,1
Hazelnut Iced Coffee (Large),32 fl oz cup,250,9,43,2
French Vanilla Iced Coffee (Small),16 fl oz cup,120,4.5,20,1
French Vanilla Iced Coffee (Medium),22 fl oz cup,170,7,27,1
French Vanilla Iced Coffee (Large),32 fl oz cup,240,9,41,2
Iced Coffee with Sugar Free French Vanilla Syrup (Small),16 fl oz cup,80,4.5,9,1
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),22 fl oz cup,120,7,12,1
Iced Coffee with Sugar Free French Vanilla Syrup (Large),32 fl oz cup,160,9,18,2
Iced Mocha (Small),12 fl oz cup,290,11,41,8
Iced Mocha (Medium),16 fl oz cup,350,13,50,9
Iced Mocha (Large),22 fl oz cup,480,16,70,14
Iced Mocha with Nonfat Milk (Small),12 fl oz cup,240,5,41,8
Iced Mocha with Nonfat Milk (Medium),16 fl oz cup,290,5,50,10
Iced Mocha with Nonfat Milk (Large),22 fl oz cup,390,6,71,14
Iced Caramel Mocha (Small),12 fl oz cup,280,11,38,8
Iced Caramel Mocha (Medium),16 fl oz cup,340,13,46,9
Iced Caramel Mocha (Large),22 fl oz cup,460,16,65,13
Iced Nonfat Caramel Mocha (Small),12 fl oz cup,230,5,38,8
Iced Nonfat Caramel Mocha (Medium),16 fl oz cup,270,5,47,10
Iced Nonfat Caramel Mocha (Large),22 fl oz cup,370,6,65,14
Frappé Mocha (Small),12 fl oz cup,450,18,65,7
Frappé Mocha (Medium),16 fl oz cup,550,22,80,9
Frappé Mocha (Large),22 fl oz cup,670,26,98,11
Frappé Caramel (Small),12 fl oz cup,450,19,64,7
Frappé Caramel (Medium),16 fl oz cup,550,23,79,9
Frappé Caramel (Large),22 fl oz cup,670,27,96,11
Frappé Chocolate Chip (Small),12 fl oz cup,530,23,76,8
Frappé Chocolate Chip (Medium),16 fl oz cup,630,26,91,9
Frappé Chocolate Chip (Large),22 fl oz cup,760,31,111,12
Blueberry Pomegranate Smoothie (Small),12 fl oz cup,220,0.5,50,2
Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,260,1,62,3
Blueberry Pomegranate Smoothie (Large),22 fl oz cup,340,1,79,4
Strawberry Banana Smoothie (Small),12 fl oz cup,210,0.5,47,3
Strawberry Banana Smoothie (Medium),16 fl oz cup,250,1,58,4
Strawberry Banana Smoothie (Large),22 fl oz cup,330,1,74,5
Mango Pineapple Smoothie (Small),12 fl oz cup,210,0.5,50,2
Mango Pineapple Smoothie (Medium),16 fl oz cup,260,1,61,3
Mango Pineapple Smoothie (Large),22 fl oz cup,340,1,78,4
Vanilla Shake (Small),12 fl oz cup,530,15,86,11
Vanilla Shake (Medium),16 fl oz cup,660,19,109,14
Vanilla Shake (Large),22 fl oz cup,820,23,135,18
Strawberry Shake (Small),12 fl oz cup,550,16,90,12
Strawberry Shake (Medium),16 fl oz cup,690,20,114,15
Strawberry Shake (Large),22 fl oz cup,850,24,140,18
Chocolate Shake (Small),12 fl oz cup,560,16,91,12
Chocolate Shake (Medium),16 fl oz cup,700,20,114,15
Chocolate Shake (Large),22 fl oz cup,850,23,141,19
Shamrock Shake (Medium),16 fl oz cup,660,19,109,14
Shamrock Shake (Large),22 fl oz cup,820,23,135,18
McFlurry with M&M’s Candies (Small),10.9 oz (310 g),650,23,96,13
McFlurry with M&M’s Candies (Medium),16.2 oz (460 g),930,33,139,20
McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),430,15,64,9
McFlurry with Oreo Cookies (Small),10.1 oz (285 g),510,17,80,12
McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),690,23,106,15
McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),340,11,53,8
McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),810,32,114,21
McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),410,16,57,10
